"","day","year","mo","da","temp","visib","wdsp","prcp","sndp","fog","NUM_CRIMES"
"265",3,2015,9,22,67.8,10,4.8,0,999.9,0,776
"266",4,2015,9,23,70.6,10,4.6,0,999.9,0,833
"267",5,2015,9,24,69.7,10,6,0,999.9,0,716
"268",6,2015,9,25,69.6,10,7.1,0,999.9,0,810
"269",7,2015,9,26,69.2,10,7.6,0,999.9,0,792
"270",1,2015,9,27,70.1,10,6.5,0,999.9,0,801
"271",2,2015,9,28,72.4,10,5.2,0,999.9,0,753
"272",3,2015,9,29,67.6,9.8,9.3,0,999.9,0,669
"273",4,2015,9,30,59.2,10,15.2,0,999.9,0,678
"274",5,2015,10,1,57.4,10,16.8,0,999.9,0,887
"275",6,2015,10,2,56.6,10,19.1,0,999.9,0,799
"276",7,2015,10,3,52.9,9.6,17.7,0.02,999.9,0,708
"277",1,2015,10,4,53.4,10,13,0.02,999.9,0,653
"278",2,2015,10,5,58.4,7.4,7.4,0,999.9,0,755
"279",3,2015,10,6,60.8,6.7,5.7,0,999.9,0,752
"280",4,2015,10,7,62.3,8.5,5.5,0,999.9,0,718
"281",5,2015,10,8,64.5,10,7.7,0,999.9,0,701
"282",6,2015,10,9,62,9.9,10.9,0,999.9,0,795
"283",7,2015,10,10,55.6,10,5,0,999.9,0,728
"284",1,2015,10,11,63.3,10,9.8,0,999.9,0,735
"285",2,2015,10,12,68.2,10,12.6,0,999.9,0,730
"286",3,2015,10,13,57.5,10,10.7,0,999.9,0,741
"287",4,2015,10,14,54.4,10,6.6,0,999.9,0,764
"288",5,2015,10,15,57.3,10,9.5,0,999.9,0,816
"289",6,2015,10,16,51.1,10,8.8,0,999.9,0,734
"290",7,2015,10,17,44.8,10,8.5,0,999.9,0,706
"291",1,2015,10,18,46.8,10,2.8,0,999.9,0,675
"292",2,2015,10,19,57.7,10,13.2,0,999.9,0,788
"293",3,2015,10,20,65,10,11.5,0,999.9,0,785
"294",4,2015,10,21,66.2,10,10.1,0.09,999.9,0,794
"295",5,2015,10,22,61.2,10,7.5,0,999.9,0,773
"296",6,2015,10,23,57.4,9.9,9.7,0,999.9,0,777
"297",7,2015,10,24,63.8,9,11.9,0.04,999.9,0,765
"298",1,2015,10,25,52.8,10,6.1,0.12,999.9,0,728
"299",2,2015,10,26,52.2,10,4.8,0,999.9,0,781
"300",3,2015,10,27,54.7,9.7,9.6,0,999.9,0,651
"301",4,2015,10,28,53.8,4.8,11.9,0.48,999.9,0,682
"302",5,2015,10,29,42.2,10,15.2,0.06,999.9,0,669
"303",6,2015,10,30,46.9,10,4.5,0,999.9,0,776
"304",7,2015,10,31,48.8,7.1,8.8,0,999.9,0,721
"305",1,2015,11,1,54.7,9.6,10.9,0.74,999.9,0,992
"306",2,2015,11,2,60.3,10,8.9,0,999.9,0,785
"307",3,2015,11,3,61,10,5.7,0,999.9,0,749
"308",4,2015,11,4,60.3,7,5.2,0,999.9,1,791
"309",5,2015,11,5,65.6,9.4,10.1,0,999.9,0,754
"310",6,2015,11,6,55.8,8.8,14.1,0.47,999.9,0,747
"311",7,2015,11,7,46.4,10,8.3,0,999.9,0,691
"312",1,2015,11,8,44,10,3.6,0,999.9,0,705
"313",2,2015,11,9,46.1,10,3.4,0,999.9,0,684
"314",3,2015,11,10,48.9,10,3.5,0,999.9,0,640
"315",4,2015,11,11,51.7,10,8.1,0,999.9,0,686
"316",5,2015,11,12,49.7,8.4,19.9,0.74,999.9,0,693
"317",6,2015,11,13,43.3,10,16.4,0.01,999.9,0,679
"318",7,2015,11,14,42.3,10,7,0,999.9,0,696
"319",1,2015,11,15,54.1,10,8.3,0,999.9,0,722
"320",2,2015,11,16,53.1,10,8.8,0,999.9,0,744
"321",3,2015,11,17,53.1,7.9,12,0.03,999.9,0,667
"322",4,2015,11,18,60.1,9.1,17,0.44,999.9,0,683
"323",5,2015,11,19,46,10,15.8,0.12,999.9,0,696
"324",6,2015,11,20,38.2,10,10.5,0,999.9,0,713
"325",7,2015,11,21,33.6,2.8,10.3,0.3,3.9,1,528
"326",1,2015,11,22,21.4,10,7.4,0.37,3.1,0,520
"327",2,2015,11,23,31,10,8.8,0,2,0,650
"328",3,2015,11,24,34.7,9.5,4,0,1.2,0,607
"329",4,2015,11,25,44.7,10,9.3,0,1.2,0,620
"330",5,2015,11,26,55,8.1,12.9,0.26,999.9,0,589
"331",6,2015,11,27,47.6,5.5,13.8,1.02,999.9,0,613
"332",7,2015,11,28,39,10,12.3,0.09,999.9,0,658
"333",1,2015,11,29,36.8,10,6.9,0,999.9,0,612
"334",2,2015,11,30,42.1,9.8,10.1,0,999.9,0,666
"335",3,2015,12,1,43.5,6.6,9.6,0.3,999.9,0,794
"336",4,2015,12,2,36.5,6.9,7.5,0.03,999.9,1,716
"337",5,2015,12,3,34.2,8.7,8.4,0.1,999.9,0,710
"338",6,2015,12,4,38.3,6,8.9,0,999.9,0,700
"339",7,2015,12,5,36.3,5.1,7.1,0,999.9,1,707
"340",1,2015,12,6,38.7,8.8,5.2,0,999.9,0,687
"341",2,2015,12,7,37.2,4.5,4.4,0,999.9,1,689
"342",3,2015,12,8,41.9,5.7,9.4,0,999.9,0,733
"343",4,2015,12,9,48.2,8.7,7.8,0,999.9,0,685
"344",5,2015,12,10,50,10,12.2,0,999.9,0,690
"345",6,2015,12,11,49.1,10,8.3,0,999.9,0,742
"346",7,2015,12,12,55.3,4.7,4.2,0,999.9,0,752
"347",1,2015,12,13,59.7,6.2,8,0.05,999.9,0,650
"348",2,2015,12,14,56.5,8.9,14.6,0.95,999.9,0,739
"349",3,2015,12,15,43.2,9.9,8,0.15,999.9,0,793
"350",4,2015,12,16,45.1,9,11.9,0,999.9,0,722
"351",5,2015,12,17,34.9,10,14.7,0.09,999.9,0,727
"352",6,2015,12,18,29.8,10,11,0,999.9,0,653
"353",7,2015,12,19,25.3,9.7,10.7,0,999.9,0,666
"354",1,2015,12,20,37.8,10,10.9,0,999.9,0,693
"355",2,2015,12,21,47.8,8.5,12.8,0.03,999.9,0,649
"356",3,2015,12,22,41.6,5.3,6.9,0.3,999.9,0,694
"357",4,2015,12,23,50.6,4,10.7,0.01,999.9,1,753
"358",5,2015,12,24,43.2,10,14.3,0.84,999.9,0,675
"359",6,2015,12,25,41.2,9.9,6.4,0,999.9,0,498
"360",7,2015,12,26,41.6,7.9,9.6,0,999.9,0,640
"361",1,2015,12,27,41.2,7,14.5,0.39,999.9,0,627
"362",2,2015,12,28,35.4,6.8,19.4,0.01,999.9,0,516
"363",3,2015,12,29,35.5,8.1,12.9,1.82,999.9,0,624
"364",4,2015,12,30,30.3,8.5,6.9,0,3.9,1,603
"365",5,2015,12,31,28.5,9,8.4,0,3.1,0,610
"366",6,2016,1,1,25.3,9.5,13,0,2,0,1153
"367",7,2016,1,2,28.6,10,9.2,0,2,0,576
"368",1,2016,1,3,28.8,10,10.9,0,2,0,618
"369",2,2016,1,4,28.5,9.8,10.5,0,2,0,626
"370",3,2016,1,5,27.5,10,8.3,0,1.2,0,627
"371",4,2016,1,6,31.1,10,7,0,1.2,0,626
"372",5,2016,1,7,38.6,10,6.3,0,1.2,0,706
"373",6,2016,1,8,41.9,6.5,5.8,0,1.2,0,742
"374",7,2016,1,9,40.5,3,6.2,0.18,999.9,1,650
"375",1,2016,1,10,20.6,8.7,15.6,0.27,1.2,0,597
"376",2,2016,1,11,8.3,8.7,9.8,0,1.2,0,513
"377",3,2016,1,12,16.2,6.2,14.3,0.06,2,0,548
"378",4,2016,1,13,9,9.9,8.2,0,2,0,654
"379",5,2016,1,14,33.9,10,8.6,0,1.2,0,734
"380",6,2016,1,15,41.1,9,10.8,0,999.9,0,733
"381",7,2016,1,16,30.4,9.3,11.2,0.02,999.9,0,651
"382",1,2016,1,17,9.6,10,13.6,0,999.9,0,537
"383",2,2016,1,18,2.8,10,11.5,0,999.9,0,515
"384",3,2016,1,19,8.1,10,6.4,0,999.9,0,610
"385",4,2016,1,20,18.8,8,2.9,0.03,1.2,0,619
"386",5,2016,1,21,21.3,9.6,2.7,0,1.2,0,634
"387",6,2016,1,22,27.3,7.4,7.6,0,1.2,0,701
"388",7,2016,1,23,30,9.7,6.5,0.01,1.2,0,722
"389",1,2016,1,24,29.1,10,7.5,0,999.9,0,675
"390",2,2016,1,25,34.3,8.9,7.2,0,999.9,0,744
"391",3,2016,1,26,33.5,7.3,14.3,0.06,999.9,0,640
"392",4,2016,1,27,29.1,10,9.8,0,999.9,0,669
"393",5,2016,1,28,35.7,9.9,13.4,0,999.9,0,751
"394",6,2016,1,29,30.5,10,9,0,999.9,0,746
"395",7,2016,1,30,39.9,10,8.9,0,999.9,0,742
"396",1,2016,1,31,44.6,8.1,7.6,0,999.9,0,665
"397",2,2016,2,1,37.1,9.5,5.4,0.02,999.9,0,852
"398",3,2016,2,2,37.1,5.6,9.2,0,999.9,0,614
"399",4,2016,2,3,37.3,5.3,9.8,0.74,999.9,1,682
"400",5,2016,2,4,28.1,9.8,10,0,999.9,0,670
"401",6,2016,2,5,30.5,9.5,6.3,0,999.9,0,660
"402",7,2016,2,6,32.3,9.2,7.3,0,999.9,0,695
"403",1,2016,2,7,39.8,10,10.1,0,999.9,0,617
"404",2,2016,2,8,32.4,9.9,8.9,0,999.9,0,570
"405",3,2016,2,9,20.4,5.8,11,0,1.2,0,545
"406",4,2016,2,10,15.2,9.6,11.1,0,1.2,0,565
"407",5,2016,2,11,15.4,10,7.1,0,1.2,0,582
"408",6,2016,2,12,21,9.8,10.4,0,999.9,0,646
"409",7,2016,2,13,11.5,10,11.8,0,999.9,0,597
"410",1,2016,2,14,15.8,7.7,8.8,0,1.2,0,514
"411",2,2016,2,15,22.5,4,6.9,0.01,1.2,0,553
"412",3,2016,2,16,29.2,5.8,3.6,0,1.2,0,625
"413",4,2016,2,17,30.8,7.7,5.9,0.03,1.2,0,641
"414",5,2016,2,18,32.5,9.9,9.5,0,999.9,0,681
"415",6,2016,2,19,50.2,10,20.9,0,999.9,0,775
