"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","visib","prcp","sndp","fog","NUM_CRIMES"
"139",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,68.8,5.4,9.7,0.01,999.9,0,0.376278118609407
"140",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2015,74.3,12.8,9.8,0.43,999.9,0,0.419222903885481
"141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2015,73.3,10.9,9.4,0.06,999.9,0,0.548057259713701
"142",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2015,70.9,11.7,9.8,0.42,999.9,0,0.478527607361963
"143",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2015,72,5.3,10,0.06,999.9,0,0.607361963190184
"144",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2015,75.7,8.7,9.6,0,999.9,0,0.664621676891616
"145",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2015,66,10.3,7.7,0.23,999.9,0,0.441717791411043
"146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2015,48.7,15.6,6.4,0.77,999.9,0,0.333333333333333
"147",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,53.5,9.2,10,0.02,999.9,0,0.922290388548057
"148",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,58,4.6,10,0,999.9,0,0.550102249488753
"149",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,65.3,6,10,0,999.9,0,0.560327198364008
"150",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2015,71,7.2,10,0,999.9,0,0.445807770961145
"151",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2015,66.8,11,9.3,0,999.9,0,0.578732106339468
"152",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2015,62.4,9.6,9.9,0,999.9,0,0.521472392638037
"153",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2015,68.2,9.3,9.3,0,999.9,0,0.482617586912065
"154",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2015,74.9,11.3,9.7,0.44,999.9,0,0.3640081799591
"155",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2015,72,5.9,9.7,0.1,999.9,0,0.466257668711656
"156",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2015,81.7,11.5,10,0.08,999.9,0,0.593047034764826
